,Disparate Impact,Statistical Parity Difference,Coefficient of Variation,Generalized Entropy Index,Theil Index,Equal Opportunity Difference,Error Rate,False Discovery Rate,Consistency,Smoothed Empirical Differential Fairness,Differential Fairness Bias Amplification
0,1.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,
1,0.7814640968443355,-0.1278819194073288,0.6979505197608902,0.2435674640172483,0.3386059955771268,-0.0771956618680421,0.5099531615925059,0.5061201780415431,0.9519516003122568,0.2934255907734742,-0.0247662932595579
2,0.7582824860824796,-0.1396765333277242,0.7021405708588533,0.2465006906229981,0.3419758108856292,-0.1226494775425058,0.4996096799375488,0.4930621554837483,0.9508977361436384,0.298918694558459,-0.0131427631919632
3,0.7524193770807277,-0.1467424496964928,0.6998096890062606,0.2448668004135196,0.3402119780294272,-0.1213981973050885,0.5080015612802498,0.5004640801930573,0.9519711163153792,0.2862513507380678,0.0213819450804005
4,,0.0,1.3294682479496225,0.8837429111531193,1.0179392626629578,0.0,0.6386612021857924,0.0,0.9996682279469165,0.0974521745705078,0.0915966673095366
5,1.2096302200253004,0.1060538800055638,0.6979505197608902,0.2435674640172483,0.3386059955771268,0.202640696116151,0.5099531615925059,0.5061201780415431,0.9519516003122568,0.0251226023864274,0.216350289140602
6,1.1530991900905194,0.0767598710139735,0.6949733353349303,0.2414939684132787,0.335363919432803,0.1803759851956473,0.499024199843872,0.4998106777735706,0.9523224043715852,0.0131714748006277,0.153898219458671
7,1.197183887779863,0.0983309303200665,0.7040053266473375,0.2478117499739121,0.344000274258265,0.201956167144131,0.5066354410616706,0.5002829654782116,0.9491217798594854,0.0190579804192551,0.1991509412311005
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4662570207638534,0.0
9,1.0832592915513952,0.0487523853402359,0.6979505197608902,0.2435674640172483,0.3386059955771268,0.0602974336948352,0.5099531615925059,0.5061201780415431,0.9519516003122568,0.6896713627602191,-0.200826571547755
10,1.053910758174282,0.0326329316139589,0.6845892336961518,0.2343312094463421,0.3254618150736261,0.0218358683115705,0.4893637782982045,0.4834657306484389,0.953317720530836,0.7601349968079454,-0.2542059098929105
11,1.0642120378093975,0.0383914678488321,0.6983056229805976,0.2438153715431602,0.3387810554240298,0.0456972887135194,0.5069281811085089,0.5008359650752369,0.9522638563622176,0.6840538087634301,-0.1683952841171255
12,1.6295138888888887,0.0236084475696664,0.6796489482471324,0.2309613464267166,0.3509625574684982,0.0,0.3247462919594067,0.9629629629629628,0.99923887587822,1.4678931657810783,0.2018270127303649
13,0.7990997575127154,-0.1139575496529903,0.6922444522009515,0.2396011908014977,0.3325006931672756,-0.0802185117043032,0.4900468384074942,0.4869169510807736,0.9519516003122568,0.2934255907734742,-0.0597254463515676
14,0.7761212453710054,-0.1272083979519471,0.696278008333171,0.2424015324442037,0.3360658956261725,-0.1084236081461543,0.485655737704918,0.4767641996557659,0.9538641686182676,0.2816783632755752,-0.0235261417929421
15,0.8119793193923506,-0.105574369630365,0.6898506081971518,0.2379469308149901,0.3300774450697802,-0.0869296534528434,0.4835089773614364,0.4785252755606233,0.9528103044496492,0.2752405340665141,-0.0595550933203071
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1697724566251164,0.0
17,1.1365181873297174,0.0684731236256988,0.6922444522009515,0.2396011908014977,0.3325006931672756,0.1923903981423727,0.4900468384074942,0.4869169510807736,0.9519516003122568,0.0251226023864274,0.1225720716203145
18,1.159519535731156,0.0807351039798074,0.683288514138522,0.2334415967768145,0.3239581587104077,0.2054494378282335,0.4804839968774395,0.4752530933633296,0.9503512880562068,0.0481103204717907,0.1302679470018924
19,1.1459551562560508,0.0727418003836845,0.6967583397381919,0.2427360919973608,0.3366669589591735,0.1775044253214532,0.4904371584699454,0.4840800762631077,0.9496877439500396,0.0208514090006879,0.1357320043459927
20,1.0,0.0,0.319869193701785,0.051158150539715,0.044032690960202,0.0,0.1675448868071819,0.1675448868071818,0.9999024199843872,0.4357984995436084,1.0285385685826751
21,1.056105878257578,0.0322993745972549,0.6922444522009515,0.2396011908014977,0.3325006931672756,0.0491034038440888,0.4900468384074942,0.4869169510807736,0.9519516003122568,0.6896713627602191,-0.2748631200358283
22,1.0149366541894616,0.0086914635167965,0.6839982263906668,0.2339267868527889,0.3246747126505021,-0.042354702930225,0.4825331772053083,0.4855348306052531,0.9530054644808748,0.7205920440680733,-0.33485598051226
23,1.113568599912509,0.0654775040860179,0.6825353713531362,0.2329272665740818,0.3234631617517801,0.0893865629427123,0.4861436377829821,0.4868864743349569,0.9516978922716632,0.6781683040874966,-0.1865964868718782
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7545085319638298,0.0
25,0.7999516762307459,-0.1129305053536112,0.6918097213002761,0.2393003452427828,0.3320009117448593,-0.0837965111262235,0.4872170179547228,0.4840982669967625,0.9519516003122568,0.2934255907734742,-0.062897691491342
26,0.791792668799628,-0.1166864051323805,0.6875499092439283,0.236362438850667,0.3276183304276034,-0.1071572021106423,0.470335675253708,0.4606072252113758,0.9499024199843878,0.276742344755377,-0.0413545147631158
