Model,Accuracy,Precision,Recall
GRU_Model,0.9563492063492064,0.9569119907537531,0.9563492063492064
LSTM_Model,0.959992193598751,0.9604936726113155,0.959992193598751
RNN_Model,0.9504944054124382,0.9512318914027005,0.9504944054124382
CNN_Model,0.9037861046057767,0.9048970455212011,0.9037861046057767
