trial,accuracy,gru_units,dropout,dense_units,learning_rate
1,0.948607858443924,128,0.2,64,0.000923601760336572
2,0.9416471506635441,128,0.2,32,0.0004910764802669148
3,0.947632058287796,96,0.2,96,0.0006776317713996201
4,0.9417772573510278,96,0.30000000000000004,32,0.0007960823744047745
5,0.9475670049440541,128,0.2,128,0.0008069564721949431
