timestamp,trial,epoch,accuracy,val_accuracy,lstm_units,dropout,dense_units,learning_rate
2025-02-22 21:55:14,1,1,0.6458402872085571,0.6951600313186646,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:55:24,1,2,0.7567887902259827,0.727556586265564,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:55:35,1,3,0.7869270443916321,0.8090033531188965,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:55:46,1,4,0.8065824508666992,0.8065313696861267,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:55:56,1,5,0.8193236589431763,0.8389929533004761,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:56:07,1,6,0.8291931748390198,0.8387978076934814,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:56:18,1,7,0.8394390344619751,0.8447827100753784,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:56:28,1,8,0.8459490537643433,0.795472264289856,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:56:39,1,9,0.8483188152313232,0.8689175248146057,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:56:50,1,10,0.8574774265289307,0.863322913646698,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:57:00,1,11,0.8604745268821716,0.8736013770103455,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:57:11,1,12,0.8643916845321655,0.8734712600708008,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:57:21,1,13,0.8686015605926514,0.873406171798706,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:57:32,1,14,0.8718077540397644,0.8551262021064758,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:57:42,1,15,0.8757945895195007,0.8613713383674622,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:57:53,1,16,0.8931220173835754,0.9044366478919983,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:58:03,1,17,0.8955336213111877,0.9080796241760254,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:58:14,1,18,0.8970112800598145,0.9076893329620361,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:58:24,1,19,0.8989907503128052,0.9128935933113098,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:58:35,1,20,0.8976385593414307,0.9104215502738953,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:58:45,1,21,0.9003429412841797,0.9075592160224915,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:58:56,1,22,0.9007890224456787,0.913804292678833,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:59:06,1,23,0.9015278220176697,0.9088602662086487,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:59:16,1,24,0.9025733470916748,0.9058027863502502,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:59:27,1,25,0.9015278220176697,0.913804292678833,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:59:37,1,26,0.9046643376350403,0.9140645265579224,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:59:48,1,27,0.9056261777877808,0.9125032424926758,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 21:59:58,1,28,0.9057098031044006,0.9135441184043884,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:00:09,1,29,0.9056401252746582,0.9167317152023315,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:00:19,1,30,0.9066856503486633,0.9169268608093262,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:00:30,1,31,0.9078565835952759,0.9204397797584534,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:00:41,1,32,0.9082608222961426,0.919268786907196,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:00:51,1,33,0.9081771969795227,0.9183580279350281,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:01:02,1,34,0.9093620777130127,0.9167967438697815,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:01:12,1,35,0.9091112017631531,0.9223263263702393,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:01:23,1,36,0.9141017198562622,0.9231719970703125,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:01:33,1,37,0.914924144744873,0.9233671426773071,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:01:44,1,38,0.9145199060440063,0.9231719970703125,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:01:54,1,39,0.9144920110702515,0.9244080185890198,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:02:05,1,40,0.9150775074958801,0.9228467345237732,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:02:15,1,41,0.914031982421875,0.920634925365448,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:02:26,1,42,0.9152726531028748,0.9226515889167786,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:02:36,1,43,0.9154956936836243,0.9229768514633179,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:02:47,1,44,0.9161787629127502,0.9232370257377625,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:02:57,1,45,0.9161090850830078,0.9233671426773071,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:03:08,1,46,0.9164714813232422,0.9242779016494751,96,0.30000000000000004,128,0.0006387093781594371
2025-02-22 22:03:18,1,47,0.9169315099716187,0.9232370257377625,96,0.30000000000000004,128,0.0006387093781594371
