trial,accuracy,rnn_units,dropout,dense_units,learning_rate
1,0.9338407494145199,96,0.30000000000000004,64,0.0007838325781719688
2,0.9408014571948998,128,0.1,64,0.0009550785005435934
3,0.9385896435076763,128,0.2,32,0.0004970871354961979
4,0.9379391100702577,96,0.1,64,0.0008370719053485523
5,0.9406062971636742,128,0.2,128,0.0005688587121870333
