timestamp,trial,epoch,accuracy,val_accuracy,conv_filters,kernel_size,dropout,dense_units,learning_rate
2025-02-22 21:02:11,1,1,0.7319337725639343,0.7920244336128235,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:15,1,2,0.8262796998023987,0.835349977016449,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:20,1,3,0.8490158319473267,0.8497267961502075,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:24,1,4,0.8599308729171753,0.8338537812232971,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:29,1,5,0.8698561191558838,0.8481004238128662,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:33,1,6,0.8765054941177368,0.7904632091522217,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:38,1,7,0.8805620670318604,0.8577283620834351,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:43,1,8,0.8866398930549622,0.8795862793922424,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:47,1,9,0.8883963227272034,0.881602942943573,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:52,1,10,0.8925225734710693,0.8884335160255432,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:02:56,1,11,0.8940141797065735,0.8784152865409851,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:01,1,12,0.8960493803024292,0.8937028646469116,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:06,1,13,0.8980567455291748,0.8961748480796814,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:10,1,14,0.8996459245681763,0.8615014553070068,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:15,1,15,0.9028242230415344,0.86241215467453,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:19,1,16,0.9037861227989197,0.9004684090614319,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:24,1,17,0.9051522016525269,0.8916211128234863,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:28,1,18,0.9070340991020203,0.9048269391059875,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:33,1,19,0.9067832231521606,0.8689825534820557,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:37,1,20,0.9084281325340271,0.9016393423080444,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:42,1,21,0.9096269607543945,0.9067134857177734,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:46,1,22,0.909640908241272,0.9043715596199036,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:51,1,23,0.927804708480835,0.9251886606216431,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:03:55,1,24,0.9308575987815857,0.9167317152023315,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:00,1,25,0.932586133480072,0.9236924052238464,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:04,1,26,0.9329067468643188,0.9220010638237,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:09,1,27,0.9333667755126953,0.9239526391029358,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:13,1,28,0.9340637922286987,0.9231069684028625,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:18,1,29,0.9347329139709473,0.9234972596168518,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:22,1,30,0.9387197494506836,0.9304579496383667,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:27,1,31,0.9396955370903015,0.9278558492660522,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:31,1,32,0.9395003914833069,0.9277907609939575,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:36,1,33,0.9405180215835571,0.9323444962501526,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:40,1,34,0.9401276707649231,0.9337106347084045,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:45,1,35,0.939918577671051,0.9315638542175293,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:50,1,36,0.9401137232780457,0.93117356300354,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:54,1,37,0.9403786063194275,0.9289617538452148,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:04:59,1,38,0.941047728061676,0.9296773076057434,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:03,1,39,0.941047728061676,0.9320192337036133,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:08,1,40,0.9407967925071716,0.9323444962501526,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:12,1,41,0.9417447447776794,0.9296773076057434,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:17,1,42,0.9420095682144165,0.9314337968826294,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:21,1,43,0.9420653581619263,0.9291568994522095,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:26,1,44,0.9427623748779297,0.9305230379104614,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:30,1,45,0.9429993033409119,0.9310434460639954,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:35,1,46,0.9422047734260559,0.9318240880966187,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:39,1,47,0.9423441290855408,0.9303278923034668,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:44,1,48,0.9422047734260559,0.9291568994522095,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:48,1,49,0.9422465562820435,0.9295472502708435,64,7,0.1,256,0.0004971005965448096
2025-02-22 21:05:53,1,50,0.9417168498039246,0.9306531548500061,64,7,0.1,256,0.0004971005965448096
